chapter	chapter_title	verse_number	original_text
1	Chapter - 1	50	"नारदः---  
इति संबोधितः शक्रो गुरुणा गुरुणा स्वयम्।  
आराधयितुकामस्तां क्षीरोदस्योत्तरं ययौ ॥ 48 ॥"
1	Chapter - 1	51	"तत्र दिव्यं तपस्तेपे बिल्वमूलनिकेतनः।  
(E. omits 8 lines from here.)एकपादस्थितो (भूमौ F.)मौनी काष्ठभूतोऽनिलाशनः ॥ 49 ॥"
1	Chapter - 1	52	"ऊर्ध्वदृग्बाहुवक्त्रश्च नियतो नियतात्मवान्।  
दिव्यं वर्षसहस्रं वै तपस्तेपे सुदुश्चरम् ॥ 50 ॥"
1	Chapter - 1	53	"तपसोऽवभृथे तस्य सा देवी पद्मसंभवा।  
प्रसन्नवदना विष्णोर्महिषी दर्शनं ययौ ॥ 51 ॥"
1	Chapter - 1	54	"अग्रतः संस्थितां देवीं जगतां मातरं पराम्।  
तां शक्रश्चक्षुषा वीक्ष्य विस्मयं परमं ययौ ॥ 52 ॥"
1	Chapter - 1	55	"एकान्तभावमापन्नमव्याजां भक्तिमास्थितम्।  
तं वीक्ष्य जगतां माता वाक्यमेतदुवाच ह ॥ 54 ॥"
1	Chapter - 1	56	"श्रीः---  
वत्स शक्र परसन्नास्मि तपसा तव सुव्रत।  
वरं वृणु महाभाग किमिष्टं करवाणिते ॥ 55 ॥"
1	Chapter - 1	57	"शक्रः---  
अद्य मे तपसो देवि यमस्य नियमस्य च।  
सद्यः फलमवाप्तं यद् दृष्टा भगवती मया ॥ 56 ॥"
1	Chapter - 1	58	"यदि वापि वरो देयस्त्वया मे परमेश्वरि।  
तत्त्वं कथय देवेशि(मे देवि E. I.) यासि त्वं यत्प्रकारिका ॥ 57 ॥"
1	Chapter - 1	59	"यत्प्रमाणा यदाधारा यदुपाया सनातनी।  
यस्य त्वं तेन(केन E. I.) वा देवि संबन्धस्तव यद्विधः ॥ 58 ॥"
1	Chapter - 1	60	"यच्चान्यद्वेदितव्यं ते नानाशास्त्रोपबृंहितम्।  
कथयेश्वरि तत्सर्वमुपसन्नोऽस्म्यधीहि भो ॥ 59 ॥"
1	Chapter - 1	61	"इति (संबोधिता E.)प्रसादिता तेन वत्सेनेव पयस्विनी।  
स्निह्यता मनसा पद्मा पाकशासनमब्रवीत् ॥ 60 ॥"
1	Chapter - 1	62	"श्रीः---  
शृणु शक्र महाभाग या (स्म्यहं D. F. G. I.)ह्यहं यत्प्रकारिका।  
यस्याहं तेन वा यादृक् संबन्धो मम वृत्रहन् ॥ 61 ॥"
2	Chapter - 2	1	"द्वितीयोऽध्यायः - 2  
श्रीरुवाच---  
अस्ति निर्दुःखनिःसीमसुखानुभवलक्षणः।  
परमात्मा परं यस्य पदं पश्यन्ति सूरयः ॥ 1 ॥"
2	Chapter - 2	2	"कश्चित्केषांचिदात्मा स्यात्तस्यान्येषां च कश्चन।  
तस्याप्यन्य(एवम् A.) इतीत्थं तु यत्रैषा(एषः E. I.) व्यवतिष्ठते ॥ 2 ॥"
2	Chapter - 2	3	"(अध्वानम् A. B. C.)अध्वनामध्वनः पारं परमात्मानमूचिरे।  
अहं नाम स्मृतो योऽर्थः स आत्मा समुदीर्यते ॥ 3 ॥"
2	Chapter - 2	4	"अनवच्छिन्नरूपोऽहं परमात्मेति शब्द्यते(शस्यते B. C.)।  
क्रोडीकृतमिदं सर्वं चेतनाचेतनात्मकम् ॥ 4 ॥"
2	Chapter - 2	5	"येन सोऽहंस्मृतो भावः परमात्मा सनातनः।  
स वासुदेवो भगवान् क्षेत्रज्ञः परमो मतः ॥ 5 ॥"
2	Chapter - 2	6	"विष्णुर्नारायणो विश्वो विश्वरूप इतीर्यते।  
अहंतया समाक्रान्तं यस्य (सर्वं B. E.)विश्वमिदं जगत् ॥ 6 ॥"
2	Chapter - 2	7	"(वस्तुतस्तु A. B. C.)वस्त्ववस्तु च तन्नास्ति यन्नाक्रान्तमहंतया।  
(A. B. C. D. omit this line.)इदंतया यदालीढमाक्रान्तं तदहंतया ॥ 7 ॥"
2	Chapter - 2	8	"(सर्वः शान्तः स B.)सर्वतः शान्त एवासौ निर्विकारः सनातनः।  
अनन्तो देशकालादिपरिच्छेदविवर्जितः ॥ 8 ॥"
2	Chapter - 2	9	"महाविभूतिरित्युक्तो व्याप्तिः सा महती यतः।  
तद्‌ ब्रह्म परमं धाम निरालम्बनभावनम्(निरालम्बमभावनम् I.) ॥ 9 ॥"
2	Chapter - 2	10	"निस्तरङ्गामृताम्भोधिकल्पं षाड्‌गुण्यमुज्ज्वलम्।  
एकं तच्चिद्घनं शान्तमुदयास्तमयोज्झितम् ॥ 10 ॥"
2	Chapter - 2	11	"अपृथग्भूतशक्तित्वाद् ब्रह्माद्वैतं तदुच्यते।  
तस्य या परमा शक्तिर्ज्योत्स्नेव हिमदीधितेः ॥ 11 ॥"
2	Chapter - 2	12	"सर्वावस्थागता देवी स्वात्मभूतानपायिनी।  
अहंता ब्रह्मणस्तस्य साहमस्मि सनातनी ॥ 12 ॥"
2	Chapter - 2	13	"आत्मा स सर्वभूतानामहंभूतो हरिः स्मृतः।  
अहंता सर्वभूतानामहमस्मि सनातनी ॥ 13 ॥"
2	Chapter - 2	14	"येन भावेन भवति वासुदेवः सनातनः।  
भवतस्तस्य देवस्य (सहायो B. C.)स भावोऽहमितीरिता ॥ 14 ॥"
2	Chapter - 2	15	"भवद्भावात्मकं ब्रह्म ततस्तच्छाश्वतं पदम्।  
भवन्नारायणो देवो भावो लक्ष्मीरहं परा ॥ 15 ॥"
2	Chapter - 2	16	"लक्ष्मीनारायणाख्यातमतो(णाख्यं तत् E. I.) ब्रह्म सनातनम्।  
अहं तया समाक्रान्तो ह्यहमर्थः प्रसिध्यति ॥ 16 ॥"
2	Chapter - 2	17	"अहमर्थसमुत्था च साहंता परिकीर्तिता।  
अन्योन्येनाविनाभावादन्योन्येन समन्वयात् ॥ 17 ॥"
2	Chapter - 2	18	"तादात्म्यं विद्धि संबन्धं मम नाथस्य चोभयोः।  
अहंतया विनाहं हि निरुपाख्यो न सिध्यति ॥ 18 ॥"
2	Chapter - 2	19	"अहमर्थं विनाहंता निराधारा न सिध्यति।  
भवद्भावात्मकं रूपं समस्तव्यस्तगोचरम् ॥ 19 ॥"
2	Chapter - 2	20	"परोक्षमपरोक्षं च जगति प्रविचिन्त्यते(विभाव्यते E; विभज्यते I.)।  
निरुन्मेषे निरुन्मेषा साहंता परमेश्वरी ॥ 20 ॥"
2	Chapter - 2	21	"क्रोडीकृत्याखिलं (विश्वं B.)सर्वं ब्रह्मणि व्यवतिष्ठते।  
उन्मेषस्तस्य यो नाम यथा चन्द्रोदयेऽम्बुधेः ॥ 21 ॥"
2	Chapter - 2	22	"अहं नारायणी शक्तिः सिसृक्षालक्षणा तदा।  
निमेषस्तस्य यो नाम संहृतौ परमात्मनः ॥ 22 ॥"
2	Chapter - 2	23	"अहं नारायणी शक्तिः सुषुप्सालक्षणा हि सा।  
(सिसृक्षायां ममोद्यन्त्यां E.)सिसृक्षाया ममोद्यन्त्या देवाल्लक्ष्मीपतेः स्वयम् ॥ 23 ॥"
2	Chapter - 2	24	"अव्याहतमसंकोचमैश्वर्यं प्रविजृम्भते।  
ज्ञानं तत्परमं ब्रह्म (सर्वादेशि B.)सर्वदर्शि निरामयम् ॥ 24 ॥"
2	Chapter - 2	25	"ज्ञानात्मिका तथाहंता सर्वज्ञा सर्वदर्शिनी।  
ज्ञानात्मकं परं रूपं ब्रह्मणो मम चोभयोः ॥ 25 ॥"
2	Chapter - 2	26	"शेषमैश्वर्यवीर्यादि ज्ञानधर्मः सनातनः।  
अहमित्यान्तरं रूपं ज्ञानरूपमुदीर्यते(मितीर्यते E.) ॥ 26 ॥"
2	Chapter - 2	27	"प्रकाशकादिकं रूपं स्फटिकादिसलक्षणम्।  
(अतस्तत् I.)अतस्तु ज्ञानरूपत्वं मम नारायणस्य च ॥ 27 ॥"
2	Chapter - 2	28	"अव्याहतिर्यदुद्यत्यास्तदैश्वर्यं परं मम।  
इच्छेति सोच्यते तत्तत्तत्त्वशास्त्रेषु पण्डितैः ॥ 28 ॥"
2	Chapter - 2	29	"जगत्प्रकृतिभावो मे यः सा शक्तिरितीर्यते।  
सृजन्त्या यच्छ्रमाभावो मम तद्बलमिष्यते ॥ 29 ॥"
2	Chapter - 2	30	"भरणं यच्च कार्यस्य बलं तच्च प्रचक्षते।  
(शक्यं शक्तेन च A. C. G.)शक्त्यंशकेन तत्प्राहुर्भरणं तत्त्वकोविदाः ॥ 30 ॥"
2	Chapter - 2	31	"विकारविरहो वीर्यं प्रकृतित्वेऽपि मे सदा।  
स्वभावं हि जहात्याशु पयो दधिसमुद्भवे ॥ 31 ॥"
2	Chapter - 2	32	"जगद्भावेऽपि सा नास्ति (प्रकृतिः I.)विकृतिर्मम नित्यदा।  
विकारविरहो वीर्यमतस्तत्त्वविदां मतम् ॥ 32 ॥"
2	Chapter - 2	33	"विक्रमः कथितो वीर्यमैश्वर्यांशः स तु स्मृतः।  
सहकार्यनपेक्षा मे सर्वकार्यविधौ हि या ॥ 33 ॥"
2	Chapter - 2	34	"तेजः षष्ठं गुणं प्राहुस्तमिमं तत्त्ववेदिनः।  
पराभिभवसामर्थ्यं तेजः केचित्प्रचक्षते ॥ 34 ॥"
2	Chapter - 2	35	"ऐश्वर्ये योजयन्त्येके तत्तेजस्तत्त्वकोविदाः।  
इति पञ्च गुणा एते ज्ञानस्य (स्फूर्तयः E. I.)स्रुतयोऽमहाः ॥ 35 ॥"
2	Chapter - 2	36	"ज्ञानाद्याः षड्‌गुणा एते षाड्‌गुण्यं मम तद्वपुः।  
उद्यतीत्थं सिसृक्षाया ममायुततमी कला ॥ 36 ॥"
2	Chapter - 2	37	"शुद्धाशुद्धात्मको वर्गस्तया क्रोडीकृतोऽखिलः।  
तत्र शुद्धमयं मार्गं व्याख्यास्यामि सुरेश्वर ॥ 37 ॥"
2	Chapter - 2	38	"अभिव्यक्तानभिव्यक्तषाड्‌गुण्यक्रममुज्ज्वलम्।  
आलम्बितचतूरूपं रूपं तत्पारमेश्वरम् ॥ 38 ॥"
2	Chapter - 2	39	"(गुणानां कल्पनावस्थो I.)गुणकल्पनयाध्यस्तो गुणोन्मेषकृतक्रमः।  
मूर्तीकृतगुणश्चेति त्रिधा मार्गोऽयमद्भुतः ॥ 39 ॥"
2	Chapter - 2	40	"युगानि त्रीणि षण्णं यान्याहुर्ज्ञानादिकानि वै(वेदिनः E.)  
समासव्यासतस्तेषां चातुरात्म्यं विविच्यते(अमूर्तिमत् A. B. C. D.) ॥ 40 ॥"
2	Chapter - 2	41	"(A. B. C. D. omit verses 41 and 42.)समस्तव्यस्तभेदेन गुणानां तद्युगत्रयम्।  
विवक्ष्यते यदा सा मे शान्तायाश्चातुरात्म्यता(चतुरात्मता I.) ॥ 41 ॥"
2	Chapter - 2	42	"आकृतीरनवेक्ष्यापि (गुणकल्पनया I.)गुणानां कल्पनाकृतम्।  
चातुरात्म्यमिदं प्राहुः शान्तायास्तत्त्वचिन्तकाः ॥ 42 ॥"
2	Chapter - 2	43	"(A. B. C. D. F. omit this verse.)शान्तातिशान्तादुन्मेषो मम रूपाद्युगत्रये।  
क्रमव्यक्तं तदाद्यं मे चातुरात्म्यममूर्तिमत् ॥ 43 ॥"
2	Chapter - 2	44	"अतरङ्गमनिर्देश्यं निःसत्तं सत्त्वमव्ययम्।  
सच्चिन्मात्राख्य उन्मेषः साद्या मे शान्तताच्युतिः ॥ 44 ॥"
2	Chapter - 2	45	"व्यक्तज्ञानबलाक्यायां पूर्वं संकर्षणात्मनि।  
(तिलकालिक E. I.)तिलकालकवत्सर्वो विकारो मयि तिष्ठति ॥ 45 ॥"
2	Chapter - 2	46	"तन्मां संकर्षणात्मानं विदुर्ज्ञानबले बुधाः।  
स्वयं गृह्णामि कर्तृत्वमुन्मिषन्ती ततः परम्(परा A. B. C. G. I.) ॥ 46 ॥"
2	Chapter - 2	47	"प्रद्युम्न इति मामाहुः सर्वार्थद्योतनीं तदा।  
युगं प्रस्फुरितं रूपं(रूपे B. C. D. I.) तस्मिन्नैश्वर्यवीर्ययोः ॥ 47 ॥"
2	Chapter - 2	48	"ततस्तया क्रियाशक्त्या (लब्धावस्था A. B. C. D.)लब्धावेशा चिकीर्षया।  
युज्यमानानिरुद्धाख्यां लम्भिता तत्त्वकोविदैः ॥ 48 ॥"
2	Chapter - 2	49	"अवस्थाः क्रमशो मे ताः सुषुप्तिस्वप्नजागराः।  
तिस्रो मम स्वभावाख्या विज्ञानैश्वर्यशक्तयः ॥ 49 ॥"
2	Chapter - 2	50	"उन्मिषन्त्यः पृथक्तत्त्वत्रयेण परिकीर्तिताः।  
बलं वीर्यं तथा तेज (इति तत्तु E. I.)इत्येतत्तु गुणत्रयम् ॥ 50 ॥"
2	Chapter - 2	51	"(श्रमाद्यविद्या A. B. C. G.)श्रमाद्यवद्याभावाख्यं ज्ञानादेरुपसर्जनम्।  
इत्थं शान्तोदितावस्थाद्वयभेदजुषो मम ॥ 51 ॥"
2	Chapter - 2	52	"स्वधर्मोर्मिसमुल्लासो न भेदायाम्बुधेरिव।  
प्रायो यद्‌गुणकर्तव्ये वर्ते कृत्या यया ह्यहम् ॥ 52 ॥"
2	Chapter - 2	53	"तत्र तद्‌गुणयुग्मं तु मम रूपतयोच्यते।  
अतो ज्ञानबले देवः संकर्षण (इतीर्यते B.)उदीर्यते ॥ 53 ॥"
2	Chapter - 2	54	"ऐश्वर्यवीर्ये प्रद्युम्नोऽनिरुद्धः शक्तितेजसी।  
(आद्यं D.)आद्यस्त्वभिन्नषाड्‌गुण्यो ब्रह्मतत्त्वापृथक्‌स्थितौ ॥ 54 ॥"
2	Chapter - 2	55	"एकोऽप्यनुनयौदार्यक्रौर्यशौर्यादिभिर्गुणैः।  
नटः प्रवर्तते यद्वद्वेषचेष्टादिभेदवान् ॥ 55 ॥"
2	Chapter - 2	56	"तद्वदेकापि सैवाहं (ज्ञानैश्वर्या E. I.)ज्ञानशक्त्यादिभिर्गुणैः।  
संकर्षणादिसद्भावं भजे लोकहितेप्सया ॥ 56 ॥"
2	Chapter - 2	57	"(क्रमेण I.)क्रमशः प्रलयोत्पत्तिस्थितिभिः प्राण्यनुग्रहः।  
प्रयोजनमथान्यच्च शास्त्रशास्त्रार्थतत्फलैः ॥ 57 ॥"
2	Chapter - 2	58	"दशास्तुर्यसुषुप्त्याद्याश्चतुर्व्यूहेऽपि लक्षयेत्।  
विभवोऽनन्तरूपस्तु पद्मनाभमुखो विभोः ॥ 58 ॥"
2	Chapter - 2	59	"अनिरुद्धस्य विस्तारो दर्शितस्तस्य सात्त्वते।  
अर्चापि लौकिकी या सा भगवद्भावितात्मनाम् ॥ 59 ॥"
2	Chapter - 2	60	"मन्त्रमन्त्रेश्वरन्यासात्सापि षाड्‌गुण्यविग्रहा।  
(पराद्यर्चावतारे A. B. C. D.)पराद्यर्चावसानेऽस्मिन्मम रूपचतुष्टये ॥ 60 ॥"
2	Chapter - 2	61	"तुर्याद्यवस्था विज्ञेया इतीयं शुद्धपद्धतिः।  
ईषद्भेदेन विज्ञेयं तद्वयूहविभवान्तरम्॥"
3	Chapter - 3	1	"तृतीयोऽध्यायः - 3  
श्रीरुवाच---  
नित्यनिर्दोषनिःसीमकल्याणगुणशालिनी।  
अहं नारायणी नाम सा सत्ता वैष्णवी परा ॥ 1 ॥"
3	Chapter - 3	2	"देशात्कालात्तथा रूपात्परिच्छेदो न मे स्मृतः।  
संवित्तिरेव मे रूपं (सैवै D.)सर्वैश्वर्यादिको गुणः ॥ 2 ॥"
3	Chapter - 3	3	"स्वस्वातन्त्र्यवशेनैव विभागस्तत्र वर्तते।  
विज्ञानैश्वर्यशक्त्यात्मा(शक्त्यात्म E. I.) विभागो यः स ईरितः ॥ 3 ॥"
3	Chapter - 3	4	"विज्ञानैश्वर्यशक्तीनामुन्मेषस्त्वपरोऽधुना।  
अतर्क्याया ममोद्यत्या (नुयोगा E. I.)नियोगानर्हया सदा ॥ 4 ॥"
3	Chapter - 3	5	"इच्छयान्यत्कृतं रूपमासीज्ज्ञानादिके त्रिके।  
यथैवेक्षुरसः स्वच्छो गुडत्वं प्रतिपद्यते ॥ 5 ॥"
3	Chapter - 3	6	"तद्वत्स्वच्छमयं ज्ञानं सत्त्वतां प्रतिपद्यते।  
रजस्त्वं च ममैश्वर्यं तमस्त्वं शक्तिरप्युत ॥ 6 ॥"
3	Chapter - 3	7	"एते त्रयो गुणाः शक्र त्रैगुण्यमिति शब्द्यते।  
रजःप्रधानं तत्सृष्टौ त्रैगुण्यं परिवर्तते ॥ 7 ॥"
3	Chapter - 3	8	"स्थितौ सत्त्वप्रधानं तत् संहृतौ तु तमोमुखम्।  
अहं संविन्मयी पूर्वा व्यापिन्यपि पुरंदर ॥ 8 ॥"
3	Chapter - 3	9	"अधिष्ठाय गुणान् सृष्टिस्थितिसंहृतिकारिणी।  
निर्गुणापि गुणानेतानधिष्ठायात्मवाञ्छया ॥ 9 ॥"
3	Chapter - 3	10	"चक्रं प्रवर्तयाम्येका सृष्टिस्थित्यन्तरूपकम्।  
शक्रः---  
विधाद्वयं समास्थाय ज्ञानाद्ये तु (गुणत्रये A. G. I.)युगत्रये ॥ 10 ॥"
3	Chapter - 3	11	"शुद्धेतरविभागेन किमर्थं त्वं प्रवर्तसे।  
विधयोरनयोः पद्मे संबन्धः कः परस्परम् ॥ 11 ॥"
3	Chapter - 3	12	"एतत्पृष्टा मया ब्रूहि नमस्ते पद्मसंभवे।  
श्रीः---  
अनियोज्यं ममैश्वर्यमिच्छैव मम कारणम् ॥ 12 ॥"
3	Chapter - 3	13	"मुह्यन्त्यत्र महान्तोऽपि तत्त्वं श्रृणु तथापि मे।  
ईशेशितव्यभावेन परिवर्ते (सदाप्यहम् A. B. C. I.)सदा ह्यहम् ॥ 13 ॥"
